id,ts,country,cat,value
58,2024-09-28,US,B,104.59
59,2024-09-06,US,A,85.83
60,2024-12-02,GB,A,89.81
61,2024-09-28,IN,C,91.81
62,2024-05-13,US,B,87.49
63,2024-12-19,US,B,83.32
64,2024-05-29,FR,A,113.34
65,2024-04-28,DE,B,89.26
66,2024-11-26,IL,A,83.27
67,2024-05-15,US,A,102.84
68,2024-01-28,IN,A,86.36
69,2024-06-20,US,B,108.96
70,2024-10-17,US,A,104.72
71,2024-03-10,US,A,106.55
72,2024-06-17,US,A,86.48
73,2024-02-17,DE,A,92.17
74,2024-09-07,US,A,107.67
75,2024-06-22,DE,B,76.0
76,2024-04-30,IL,A,105.02
77,2024-03-23,US,B,100.32
78,2024-07-25,GB,A,119.18
79,2024-09-01,DE,A,76.02
80,2024-12-09,US,A,92.48
81,2024-06-08,US,A,101.91
82,2024-02-28,DE,C,119.21
83,2024-10-30,GB,A,111.48
84,2024-08-17,FR,C,90.4
85,2024-09-12,GB,A,102.77
86,2024-02-05,US,A,113.31
87,2024-04-24,IN,A,112.39
88,2024-10-07,US,A,118.14
89,2024-10-30,US,C,83.49
90,2024-06-07,DE,B,128.35
91,2024-10-20,US,B,86.38
92,2024-11-03,IL,A,103.46
93,2024-05-21,US,A,91.6
94,2024-11-23,FR,B,99.0
95,2024-04-15,GB,B,95.12
96,2024-03-28,DE,A,125.77
97,2024-09-06,IL,B,81.33
98,2024-08-20,US,B,72.9
99,2024-02-21,GB,A,84.56
100,2024-10-30,DE,A,84.49
101,2024-03-13,IL,B,107.81
102,2024-10-20,US,A,97.12
103,2024-01-03,US,A,105.21
104,2024-10-17,IL,B,104.19
105,2024-10-14,FR,C,87.53
106,2024-10-11,GB,A,89.76
107,2024-08-30,IN,A,83.12
108,2024-06-21,IL,A,110.58
109,2024-09-14,IL,A,80.24
110,2024-04-11,GB,A,68.66
111,2024-10-11,US,C,88.39
112,2024-07-21,DE,C,121.53
113,2024-06-16,FR,A,86.55
114,2024-07-03,US,C,96.62
115,2024-07-26,US,A,82.7
116,2024-01-14,IL,A,77.78
117,2024-02-21,DE,C,86.38
118,2024-03-30,US,A,106.91
119,2024-02-11,US,A,72.83
120,2024-06-09,US,A,123.27
121,2024-08-31,GB,A,74.15
122,2024-08-26,GB,C,87.26
123,2024-06-20,IN,A,82.43
124,2024-11-08,GB,A,90.9
125,2024-07-25,US,C,123.62
126,2024-01-29,US,A,94.19
127,2024-10-06,IL,C,92.35
128,2024-07-28,DE,A,108.8
129,2024-08-19,FR,B,85.32
130,2024-07-25,US,C,100.5
131,2024-07-21,IN,C,121.11
132,2024-02-03,US,A,109.95
133,2024-07-23,DE,B,104.46
134,2024-10-17,GB,A,103.85
135,2024-04-20,DE,A,91.02
136,2024-08-08,GB,A,79.74
137,2024-01-12,FR,B,109.68
138,2024-05-06,GB,A,98.55
139,2024-06-08,GB,C,109.9
140,2024-12-24,IL,A,123.87
141,2024-03-19,IL,A,121.02
142,2024-04-10,GB,B,99.79
143,2024-05-29,DE,B,102.94
144,2024-12-28,DE,A,84.36
145,2024-11-07,IL,B,89.5
146,2024-01-13,US,A,93.17
147,2024-03-26,IL,A,105.5
148,2024-10-26,IN,C,95.2
149,2024-01-22,US,B,102.61
150,2024-11-08,US,A,95.07
151,2024-04-12,US,C,88.42
152,2024-11-30,IL,C,108.92
153,2024-04-17,US,A,104.01
154,2024-06-07,FR,C,89.37
155,2024-08-29,US,A,105.27
156,2024-02-16,US,C,92.52
157,2024-07-22,US,B,113.05
158,2024-07-03,US,A,123.26
159,2024-10-13,GB,A,92.28
160,2024-12-29,IN,A,103.93
161,2024-08-30,GB,A,107.56
162,2024-05-29,GB,B,97.82
163,2024-05-28,US,A,87.23
164,2024-06-01,GB,A,101.32
165,2024-10-24,IL,B,109.59
166,2024-04-27,GB,B,77.32
167,2024-03-01,DE,A,95.72
168,2024-05-02,US,A,115.13
169,2024-01-09,US,B,114.05
170,2024-02-08,US,A,80.11
171,2024-02-02,IL,A,76.61
172,2024-10-08,IL,C,116.37
173,2024-09-20,IN,A,71.62
174,2024-09-11,US,C,88.53
175,2024-06-17,DE,A,112.39
176,2024-09-18,DE,C,119.26
177,2024-02-28,US,A,84.18
178,2024-11-24,US,B,103.98
179,2024-07-01,IL,C,117.14
180,2024-12-08,IL,A,94.27
181,2024-02-25,US,A,92.58
182,2024-06-30,US,A,125.14
183,2024-09-11,US,B,97.52
184,2024-06-29,GB,B,65.15
185,2024-06-11,GB,C,102.04
186,2024-03-01,US,A,108.17
187,2024-05-19,DE,A,116.04
188,2024-03-28,IN,A,110.6
189,2024-04-20,US,A,106.07
190,2024-09-06,US,A,87.43
191,2024-08-18,US,A,123.32
192,2024-08-09,US,A,98.0
193,2024-05-12,GB,A,112.31
194,2024-12-16,GB,B,113.01
195,2024-02-01,DE,B,109.09
196,2024-05-05,US,C,94.3
197,2024-02-13,GB,A,121.31
198,2024-05-03,US,B,101.53
199,2024-12-17,US,B,104.32
200,2024-05-13,US,C,112.18
201,2024-11-27,GB,B,98.75
202,2024-06-29,FR,A,115.87
203,2024-09-12,DE,A,105.15
204,2024-06-15,FR,B,94.31
205,2024-04-07,US,B,108.32
206,2024-10-05,IL,A,85.12
207,2024-12-19,GB,B,102.56
208,2024-04-06,IN,A,96.75
209,2024-10-11,DE,C,110.96
210,2024-04-05,US,C,111.46
211,2024-09-18,IN,C,91.04
212,2024-10-14,IL,C,87.95
213,2024-06-13,US,C,120.82
214,2024-09-25,US,A,124.74
215,2024-04-09,US,B,139.05
216,2024-01-29,DE,A,94.18
217,2024-02-05,DE,A,91.34
218,2024-06-12,US,A,84.65
219,2024-11-25,US,B,97.3
220,2024-02-16,DE,A,77.24
221,2024-06-15,IL,C,93.41
222,2024-09-13,US,C,101.65
223,2024-03-14,US,C,75.03
224,2024-09-20,GB,A,101.89
225,2024-04-21,IN,C,116.14
226,2024-10-22,IL,A,105.42
227,2024-07-30,FR,A,112.0
228,2024-07-18,GB,B,87.87
229,2024-03-05,US,A,76.4
230,2024-06-18,IN,C,116.3
231,2024-11-08,IL,C,104.57
232,2024-01-08,DE,B,97.56
233,2024-10-03,DE,A,99.45
234,2024-06-28,US,C,84.08
235,2024-09-19,GB,B,104.73
236,2024-08-30,FR,A,104.26
237,2024-06-06,US,A,103.98
238,2024-04-22,DE,A,93.24
239,2024-08-16,IN,C,106.16
240,2024-02-21,GB,C,104.73
241,2024-08-01,DE,B,104.3
242,2024-02-04,US,A,99.28
243,2024-08-25,US,B,98.76
244,2024-08-17,US,A,95.85
245,2024-01-31,GB,A,101.37
246,2024-10-03,GB,C,77.95
247,2024-05-31,IN,C,100.45
248,2024-10-14,US,A,96.8
249,2024-01-16,IN,C,124.23
250,2024-03-06,IN,A,83.69
251,2024-06-29,FR,A,80.34
252,2024-03-09,GB,B,89.87
253,2024-04-30,IL,B,103.91
254,2024-08-29,US,B,96.25
255,2024-02-22,US,A,73.94
256,2024-09-04,US,A,80.32
257,2024-02-07,US,B,116.71
258,2024-03-04,FR,B,129.49
259,2024-08-02,US,A,108.17
260,2024-10-16,US,B,97.47
261,2024-03-03,US,B,103.16
262,2024-04-19,FR,B,88.35
263,2024-12-03,IN,B,119.41
264,2024-12-27,IL,A,123.54
265,2024-07-31,GB,A,88.93
266,2024-06-12,IN,A,107.24
267,2024-05-06,FR,A,93.15
268,2024-08-11,FR,B,108.48
269,2024-08-03,DE,C,95.32
270,2024-04-17,IN,B,88.7
271,2024-01-09,US,B,103.5
272,2024-02-25,GB,B,79.25
273,2024-12-15,IL,C,99.57
274,2024-06-01,US,C,96.36
275,2024-06-25,FR,C,109.29
276,2024-06-19,GB,A,103.11
277,2024-10-12,GB,B,100.41
278,2024-01-24,IN,B,113.39
279,2024-01-31,FR,A,111.81
280,2024-04-10,DE,A,112.74
281,2024-06-26,IN,A,84.37
282,2024-09-01,US,A,110.03
283,2024-06-28,US,A,123.04
284,2024-06-10,IL,A,75.2
285,2024-12-08,DE,A,81.29
286,2024-02-28,FR,A,127.42
287,2024-07-27,GB,C,106.28
288,2024-07-16,US,A,90.78
289,2024-06-21,GB,B,81.38
290,2024-10-21,DE,A,90.18
291,2024-04-07,IN,A,68.98
292,2024-12-14,US,A,104.91
293,2024-05-01,DE,C,113.45
294,2024-07-17,GB,B,120.58
295,2024-07-09,DE,A,72.42
296,2024-11-06,US,C,108.39
297,2024-06-09,US,B,101.13
298,2024-04-13,US,A,111.21
299,2024-01-08,IL,A,63.71
300,2024-05-12,DE,A,99.53
301,2024-10-28,DE,B,83.65
302,2024-01-04,FR,A,83.73
303,2024-11-23,US,A,127.15
304,2024-07-17,US,B,124.97
305,2024-02-21,GB,A,102.9
306,2024-04-20,GB,B,69.71
307,2024-07-21,FR,C,89.85
308,2024-04-25,FR,A,127.27
309,2024-02-09,IN,A,97.02
310,2024-08-31,IN,A,82.58
311,2024-09-02,DE,A,102.08
312,2024-02-13,US,C,98.63
313,2024-04-12,US,A,83.59
314,2024-03-30,DE,A,90.19
315,2024-08-28,IL,B,79.3
316,2024-09-23,US,B,136.61
317,2024-09-22,US,A,87.52
318,2024-12-08,IN,A,92.36
319,2024-10-07,US,A,94.82
320,2024-04-27,GB,A,110.54
321,2024-02-09,IN,A,70.73
322,2024-08-12,FR,A,98.83
323,2024-11-30,US,A,102.05
324,2024-12-21,GB,C,106.59
325,2024-03-25,FR,A,102.32
326,2024-03-27,US,B,84.23
327,2024-01-14,DE,A,98.38
328,2024-02-21,US,A,108.02
329,2024-07-21,FR,C,100.87
330,2024-07-18,IN,B,98.76
331,2024-05-15,DE,A,121.41
332,2024-04-23,IN,B,112.23
333,2024-10-29,IL,B,90.05
334,2024-06-16,GB,B,95.47
335,2024-10-22,GB,A,106.01
336,2024-12-17,US,A,83.37
337,2024-04-25,IN,C,100.04
338,2024-03-14,IN,A,106.26
339,2024-12-13,IL,B,84.0
340,2024-08-19,GB,B,112.47
341,2024-04-16,US,B,112.42
342,2024-08-14,US,B,69.52
343,2024-07-06,US,A,107.21
344,2024-11-26,IL,C,122.6
345,2024-04-03,US,A,99.99
346,2024-12-27,US,A,80.52
347,2024-12-07,IN,C,109.13
348,2024-03-06,IL,B,91.98
349,2024-03-01,GB,A,108.28
350,2024-07-13,US,C,110.07
351,2024-01-17,US,A,82.3
352,2024-04-19,GB,A,103.45
353,2024-06-07,US,C,85.12
354,2024-12-19,IL,B,80.81
355,2024-12-28,IN,A,111.29
356,2024-02-25,US,C,101.5
357,2024-11-21,IL,B,61.75
358,2024-02-03,DE,C,109.75
359,2024-09-30,US,B,82.35
360,2024-11-04,FR,A,100.17
361,2024-11-21,IL,C,93.75
362,2024-03-22,US,C,114.39
363,2024-11-22,IL,B,107.72
364,2024-02-12,IL,A,103.86
365,2024-07-08,DE,C,108.52
366,2024-06-20,IN,B,98.3
367,2024-04-25,GB,A,112.88
368,2024-01-09,IL,A,104.3
369,2024-10-08,IN,C,114.22
370,2024-05-02,GB,B,121.58
371,2024-08-29,US,B,116.36
372,2024-05-29,US,B,100.98
373,2024-05-16,US,B,123.85
374,2024-11-19,US,B,89.47
375,2024-02-04,IL,A,99.06
376,2024-09-25,US,A,107.96
377,2024-09-29,IN,C,95.84
378,2024-05-18,IL,A,113.33
379,2024-04-05,US,A,100.43
380,2024-01-02,IN,A,75.17
381,2024-12-07,DE,C,80.81
382,2024-12-11,US,A,113.72
383,2024-03-28,US,B,85.55
384,2024-01-12,FR,A,100.73
385,2024-02-14,IL,A,93.08
386,2024-01-25,DE,A,107.25
387,2024-10-30,GB,C,99.33
388,2024-11-21,FR,A,86.8
389,2024-02-25,GB,A,77.7
390,2024-09-29,FR,A,112.57
391,2024-03-06,FR,B,96.88
392,2024-05-14,US,A,78.51
393,2024-08-06,IL,B,103.35
394,2024-09-19,IL,B,104.91
395,2024-11-15,DE,B,94.57
396,2024-01-17,IL,A,98.53
397,2024-03-12,DE,B,115.61
398,2024-04-12,IL,A,100.88
399,2024-04-23,DE,C,77.62
400,2024-12-30,IL,B,100.78
401,2024-10-10,IN,A,114.63
402,2024-04-26,IL,B,80.03
403,2024-12-20,FR,C,110.72
404,2024-07-01,DE,A,98.72
405,2024-07-01,IL,A,77.54
406,2024-06-07,GB,A,113.47
407,2024-02-22,IN,A,87.98
408,2024-12-07,GB,B,99.83
409,2024-01-06,IN,C,104.52
410,2024-03-04,IL,A,101.39
411,2024-03-24,IN,C,88.53
412,2024-04-11,GB,A,117.75
413,2024-02-18,GB,C,86.77
414,2024-01-07,GB,A,94.28
415,2024-09-04,FR,C,112.53
416,2024-12-19,DE,C,97.91
417,2024-02-14,DE,A,94.3
418,2024-04-18,IL,A,94.82
419,2024-07-03,FR,A,71.62
420,2024-12-04,US,A,114.07
421,2024-09-10,FR,C,81.28
422,2024-10-06,DE,B,99.2
423,2024-07-31,IL,B,64.98
424,2024-06-01,US,B,100.86
425,2024-03-13,US,A,79.91
426,2024-11-11,DE,B,73.6
427,2024-10-20,IL,A,84.48
428,2024-01-10,US,B,74.14
429,2024-09-18,US,B,96.8
430,2024-01-31,IL,B,99.59
431,2024-09-26,US,A,97.07
432,2024-10-28,US,B,88.65
433,2024-02-17,FR,A,111.41
434,2024-06-07,FR,A,95.0
435,2024-02-15,IN,B,115.83
436,2024-07-26,US,A,65.88
437,2024-12-04,US,A,102.05
438,2024-01-30,US,C,101.74
439,2024-05-25,DE,A,86.63
440,2024-12-21,US,A,115.12
441,2024-04-19,US,A,97.76
442,2024-02-18,DE,A,100.17
443,2024-06-27,IL,A,103.99
444,2024-07-04,DE,A,125.91
445,2024-08-29,DE,A,92.14
446,2024-04-24,GB,A,100.74
447,2024-12-14,IL,A,116.01
448,2024-07-09,US,C,96.19
449,2024-04-14,DE,A,114.21
450,2024-12-16,US,A,98.11
451,2024-12-03,US,B,103.55
452,2024-07-01,IL,A,95.84
453,2024-01-10,US,B,93.57
454,2024-08-05,US,A,98.37
455,2024-07-21,FR,C,86.06
456,2024-02-24,GB,A,86.5
457,2024-08-19,US,A,96.09
458,2024-11-02,DE,A,98.85
459,2024-02-08,IN,A,107.82
460,2024-09-21,US,A,92.6
461,2024-02-21,FR,B,120.55
462,2024-09-30,US,B,80.42
463,2024-06-01,IN,B,85.49
464,2024-01-03,US,A,104.05
465,2024-12-18,US,A,117.69
466,2024-03-01,IN,A,87.56
467,2024-08-05,FR,C,121.0
468,2024-03-07,US,A,109.83
469,2024-12-06,GB,C,105.88
470,2024-09-26,GB,C,105.59
471,2024-10-20,IL,A,105.16
472,2024-06-06,US,C,91.31
473,2024-06-19,US,C,91.17
474,2024-08-19,IN,B,91.14
475,2024-10-13,US,C,91.58
476,2024-11-05,US,A,108.45
477,2024-01-07,US,B,116.97
478,2024-08-30,US,A,83.28
479,2024-02-09,DE,C,85.12
480,2024-04-15,IL,B,118.81
481,2024-10-29,US,A,97.5
482,2024-04-01,US,B,108.31
483,2024-10-17,US,B,92.35
484,2024-06-17,US,C,126.99
485,2024-03-25,US,A,100.1
486,2024-05-01,FR,B,110.52
487,2024-07-12,US,B,112.3
488,2024-10-06,US,B,74.26
489,2024-08-09,DE,B,73.32
490,2024-12-06,FR,A,90.13
491,2024-11-12,FR,A,99.31
492,2024-10-01,IN,A,98.73
493,2024-08-08,US,B,113.85
494,2024-04-15,US,A,84.29
495,2024-05-30,US,C,83.15
496,2024-02-13,US,A,84.84
497,2024-05-16,IN,A,115.5
498,2024-12-04,DE,C,110.16
499,2024-06-04,GB,A,79.41
500,2024-02-11,IN,A,109.81
501,2024-08-25,GB,A,90.51
502,2024-12-17,IL,B,77.92
503,2024-11-12,GB,A,98.16
504,2024-04-10,IL,C,97.17
505,2024-06-14,US,B,110.38
506,2024-07-12,DE,A,97.23
507,2024-03-31,IN,B,115.86
508,2024-04-08,GB,C,117.62
509,2024-03-27,IL,C,90.43
510,2024-12-29,GB,A,96.08
511,2024-09-29,IL,C,113.55
512,2024-11-02,FR,A,99.42
513,2024-10-25,US,A,114.01
514,2024-12-16,US,B,114.55
515,2024-02-08,US,B,74.49
516,2024-11-17,GB,A,107.17
517,2024-01-25,IN,B,105.22
518,2024-06-22,US,A,105.72
519,2024-08-04,US,A,104.42
520,2024-05-10,US,C,104.14
521,2024-02-23,GB,A,126.34
522,2024-03-11,DE,B,105.41
523,2024-10-28,DE,A,92.62
524,2024-04-26,US,A,93.5
525,2024-04-23,US,A,95.7
526,2024-12-03,IN,B,118.49
527,2024-02-22,DE,A,83.75
528,2024-11-30,US,B,122.28
529,2024-12-02,US,A,102.61
530,2024-08-06,US,A,67.5
531,2024-03-01,US,B,119.37
532,2024-02-26,US,B,111.83
533,2024-04-13,FR,C,94.4
534,2024-07-29,US,B,102.78
535,2024-02-26,IL,A,113.62
536,2024-06-15,DE,A,117.43
537,2024-02-12,US,B,97.73
538,2024-07-16,IL,A,120.16
539,2024-01-08,GB,A,97.2
540,2024-09-15,US,B,117.89
541,2024-01-21,GB,B,76.13
542,2024-03-12,US,A,122.87
543,2024-03-04,US,B,73.73
544,2024-10-30,US,A,88.1
545,2024-01-20,FR,B,115.33
546,2024-06-05,IL,A,101.48
547,2024-08-03,GB,B,110.62
548,2024-07-07,US,A,82.15
549,2024-09-05,DE,A,87.37
550,2024-10-20,US,A,95.62
551,2024-05-23,US,C,76.62
552,2024-10-29,DE,C,116.98
553,2024-04-26,US,A,98.96
554,2024-12-25,IL,B,82.92
555,2024-07-03,DE,C,99.09
556,2024-09-25,FR,A,99.86
557,2024-11-15,FR,B,107.33
558,2024-10-16,US,A,98.16
559,2024-11-06,US,A,88.47
560,2024-07-14,IL,A,96.74
561,2024-01-16,US,C,131.5
562,2024-06-28,US,B,105.11
563,2024-03-07,US,B,85.44
564,2024-11-20,IL,B,115.05
565,2024-03-27,DE,A,135.01
566,2024-03-24,US,B,107.93
567,2024-04-01,US,B,99.11
568,2024-08-22,US,A,77.79
569,2024-07-27,US,A,98.56
570,2024-12-12,GB,A,81.5
571,2024-05-31,US,B,104.41
572,2024-04-13,US,B,68.68
573,2024-01-18,GB,A,108.63
574,2024-01-03,IL,A,73.47
575,2024-05-16,US,B,101.3
576,2024-12-03,GB,A,123.39
577,2024-07-10,FR,B,85.98
578,2024-11-22,IN,B,90.06
579,2024-02-07,GB,C,105.49
580,2024-02-04,FR,A,91.83
581,2024-10-31,US,B,117.87
582,2024-02-08,IL,B,95.83
583,2024-01-19,US,A,114.54
584,2024-05-27,DE,B,107.17
585,2024-12-03,IN,A,100.76
586,2024-09-08,US,B,102.14
587,2024-02-06,GB,B,105.34
588,2024-11-01,DE,C,94.29
589,2024-11-03,US,C,117.61
590,2024-10-19,GB,C,80.74
591,2024-11-25,DE,B,124.13
592,2024-03-28,IL,B,80.76
593,2024-12-23,IL,B,115.47
594,2024-04-27,US,B,129.15
595,2024-10-19,US,C,125.93
596,2024-07-30,FR,A,69.27
597,2024-10-11,GB,B,100.69
598,2024-08-17,FR,A,100.41
599,2024-08-22,GB,A,124.27
600,2024-08-12,GB,B,79.5
601,2024-10-11,US,B,99.47
602,2024-09-26,GB,A,85.86
603,2024-02-19,GB,A,103.21
604,2024-10-28,US,A,91.83
605,2024-07-14,IL,B,102.57
606,2024-04-27,FR,A,94.48
607,2024-07-06,IN,B,78.3
608,2024-12-18,IN,A,114.75
609,2024-11-09,IL,B,69.86
610,2024-10-31,GB,A,102.25
611,2024-06-17,IL,A,95.27
612,2024-10-13,GB,A,109.93
613,2024-05-20,DE,B,132.52
614,2024-09-07,IN,C,72.38
615,2024-08-21,IN,B,90.61
616,2024-04-01,US,C,96.68
617,2024-04-07,IN,B,88.67
618,2024-01-23,FR,A,110.54
619,2024-02-21,US,B,99.52
620,2024-06-07,US,B,88.93
621,2024-06-23,FR,B,84.69
622,2024-03-01,US,C,69.09
623,2024-06-01,US,B,109.3
624,2024-08-08,DE,B,90.45
625,2024-03-25,US,A,128.11
626,2024-05-03,IL,A,118.64
627,2024-05-14,GB,A,95.61
628,2024-07-03,US,A,97.99
629,2024-05-13,DE,B,86.83
630,2024-09-25,US,A,97.39
631,2024-04-29,GB,A,93.02
632,2024-06-07,IL,B,98.73
633,2024-05-18,GB,C,112.11
634,2024-03-07,FR,A,129.19
635,2024-09-07,GB,B,89.73
636,2024-03-26,DE,A,75.88
637,2024-04-18,IL,C,95.19
638,2024-10-16,US,A,100.86
639,2024-12-12,DE,B,107.73
640,2024-09-01,DE,A,116.22
641,2024-11-30,DE,C,78.13
642,2024-11-07,US,A,104.16
643,2024-06-24,DE,C,128.16
644,2024-10-08,IL,A,105.11
645,2024-04-29,DE,B,83.05
646,2024-06-17,FR,A,76.57
647,2024-07-14,IL,A,97.03
648,2024-12-16,DE,B,123.2
649,2024-11-05,IL,A,98.15
650,2024-06-27,GB,A,88.35
651,2024-08-26,GB,A,82.15
652,2024-03-14,US,A,130.31
653,2024-10-20,US,B,68.52
654,2024-07-20,FR,A,93.81
655,2024-07-13,GB,C,82.71
656,2024-10-06,US,A,97.42
657,2024-08-19,IL,C,98.25
658,2024-01-27,US,A,112.74
659,2024-04-15,GB,B,77.54
660,2024-03-05,US,B,99.59
661,2024-09-25,GB,A,74.37
662,2024-01-13,FR,A,73.81
663,2024-03-14,GB,A,95.0
664,2024-08-06,IN,C,106.6
665,2024-09-10,IL,C,110.76
666,2024-07-02,FR,A,107.59
667,2024-11-10,FR,A,99.27
668,2024-12-01,GB,A,104.59
669,2024-02-18,DE,A,93.44
670,2024-12-13,US,A,86.01
671,2024-08-12,IN,B,86.7
672,2024-08-20,US,B,96.38
673,2024-02-04,IN,A,88.12
674,2024-08-14,US,B,124.88
675,2024-09-21,IL,A,90.26
676,2024-07-30,IN,B,70.76
677,2024-01-31,FR,A,110.41
678,2024-07-09,DE,A,110.89
679,2024-12-07,US,A,101.26
680,2024-09-21,US,A,100.21
681,2024-02-20,US,B,96.17
682,2024-12-16,DE,A,95.5
683,2024-12-15,IL,A,97.03
684,2024-03-02,US,B,100.33
685,2024-10-19,IL,B,96.2
686,2024-05-28,IN,A,71.82
687,2024-08-04,GB,C,83.52
688,2024-06-11,IL,B,102.4
689,2024-10-12,IN,C,83.09
690,2024-12-29,IL,C,86.28
691,2024-10-17,US,B,110.18
692,2024-12-05,IL,A,74.13
693,2024-12-11,GB,B,83.52
694,2024-02-02,US,A,108.36
695,2024-04-02,US,A,87.73
696,2024-09-20,IN,A,97.87
697,2024-08-03,FR,A,59.43
698,2024-01-19,GB,A,113.78
699,2024-02-04,FR,B,113.65
700,2024-07-08,FR,C,99.08
701,2024-08-12,US,B,82.47
702,2024-03-02,GB,A,122.54
703,2024-03-03,US,C,133.48
704,2024-02-17,US,C,124.58
705,2024-07-25,IN,A,112.36
706,2024-01-03,US,C,101.7
707,2024-07-27,US,B,93.91
708,2024-06-22,US,A,119.45
709,2024-06-19,GB,A,97.54
710,2024-09-04,IN,B,54.93
711,2024-07-09,US,C,99.73
712,2024-09-22,IL,A,96.8
713,2024-10-05,FR,C,89.71
714,2024-12-01,DE,A,112.13
715,2024-10-18,US,B,89.57
716,2024-07-07,US,B,102.83
717,2024-06-28,DE,A,62.97
718,2024-03-27,US,A,84.15
719,2024-08-06,GB,A,95.07
720,2024-02-20,US,A,69.14
721,2024-12-05,GB,A,85.34
722,2024-11-04,FR,B,110.66
723,2024-02-13,DE,A,93.25
724,2024-10-13,GB,A,120.94
725,2024-02-12,US,A,104.43
726,2024-09-20,US,B,80.65
727,2024-02-02,DE,C,119.8
728,2024-06-27,GB,B,109.62
729,2024-08-28,GB,A,103.79
730,2024-09-23,IL,A,114.71
731,2024-06-01,GB,B,85.36
732,2024-12-02,US,B,103.38
733,2024-10-09,US,A,88.21
734,2024-03-17,US,B,110.91
735,2024-09-01,IN,A,81.77
736,2024-09-23,DE,A,101.81
737,2024-05-01,IL,B,116.21
738,2024-09-26,FR,A,95.35
739,2024-11-23,US,A,119.35
740,2024-10-25,US,B,90.58
741,2024-10-05,US,A,82.02
742,2024-08-19,US,A,103.79
743,2024-04-08,IL,A,98.0
744,2024-10-17,US,B,117.49
745,2024-05-12,GB,C,87.16
746,2024-07-13,GB,B,114.26
747,2024-04-24,IN,C,100.86
748,2024-04-24,US,C,114.39
749,2024-02-27,DE,C,87.9
750,2024-12-16,US,A,94.55
751,2024-02-23,US,B,100.83
752,2024-02-01,DE,B,117.56
753,2024-12-07,IL,A,107.32
754,2024-07-21,FR,A,78.2
755,2024-06-08,GB,C,87.28
756,2024-09-26,US,A,98.11
757,2024-05-19,IN,C,89.02
758,2024-02-16,US,A,125.34
759,2024-09-23,IN,A,89.38
760,2024-03-05,DE,A,82.23
761,2024-07-20,US,B,91.94
762,2024-12-12,IL,A,108.93
763,2024-12-07,US,B,95.1
764,2024-05-11,GB,B,123.63
765,2024-10-11,US,A,78.89
766,2024-08-11,GB,A,96.14
767,2024-06-23,US,B,138.92
768,2024-02-21,IN,C,108.49
769,2024-05-17,US,B,88.96
770,2024-08-25,FR,B,75.02
771,2024-12-26,GB,B,86.03
772,2024-01-02,US,C,99.93
773,2024-09-18,US,A,116.84
774,2024-11-04,DE,A,83.36
775,2024-12-13,FR,A,82.92
776,2024-06-03,GB,A,97.8
777,2024-02-13,US,A,126.25
778,2024-04-08,GB,C,117.06
779,2024-11-06,IN,B,72.83
780,2024-11-16,GB,B,97.82
781,2024-08-20,US,C,106.49
782,2024-02-14,US,A,98.96
783,2024-02-14,IN,C,82.74
784,2024-06-23,FR,B,114.08
785,2024-08-02,DE,A,110.01
786,2024-01-12,IN,A,121.04
787,2024-09-07,US,A,102.6
788,2024-07-17,GB,C,93.28
789,2024-01-05,FR,C,106.62
790,2024-02-04,GB,A,87.98
791,2024-06-14,GB,B,113.01
